('2017-04-21 21:12:37', '5 Things JPMorgan Chase Wants You to Know https://t.co/X6akQPcR8F $JPM https://t.co/dNPuCoso5n'),,,,,
('2017-04-21 21:10:14', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/ahimqVpBnW $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 21:01:04', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/ddJt5HPd04 $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 20:58:17', '#JPMorganChase organ Claver IT : AGM results. Read more: https://t.co/LR4fiy2Yw4 $JPM'),,,,,
('2017-04-21 20:55:08', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/GzN1ejwV4m $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 20:50:13', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/LoQC1JAu2l $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 20:35:10', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/fhMmdjxaHM $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 20:31:49'," ""Goldman's Earnings Miss And What It Means Going Forward https://t.co/2JFvrsnDxA $GS", $BAC, $C, $JPM, $MS," $XLF"")"
('2017-04-21 20:28:56', '$JPM Trump orders review of financial rules to prevent future crises https://t.co/uVIs35o1wa'),,,,,
('2017-04-21 20:27:29', '$JPM Todays trading with JPMorgan Chase &amp; Co. for $84.52 on date April 21, 2017. #Finance'),,,,
('2017-04-21 20:25:13', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/FKjRAxswVC $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 20:24:18', 'What a farce.  NOTHING holds the crooks at $GS $JPM etc accountable &amp; @realDonaldTrump is actually easing regulatio‰Û_ https://t.co/BJ2ksP2crv'),,,,,
('2017-04-21 20:15:19', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/kip5oGN9Vd $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 20:13:18', '$JPM iShares Rakes in Highest Assets for BlackRock in 1Q17 https://t.co/VwedjDTrXi'),,,,,
('2017-04-21 20:10:14', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/yQYLOKn5Qu $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 20:05:00'," ""RT @SeekingAlpha: Goldman's Earnings Miss And What It Means Going Forward https://t.co/kyW2qvosKq $BAC $C $JPM $MS $XLF $GS"")",,,,,
('2017-04-21 20:01:09', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/Yycairc0fy $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 19:58:36', 'Dow #Stocks Trend $MSFT $CAT $INTC $MRK $DD $BA $CSCO $AAPL $IBM $MCD $JPM $DIS $UNH $V $HD $TRV $MMM $AXP $GS  @ https://t.co/TvzJfd0RGT'),,,,,
('2017-04-21 19:55:08', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/vT9HmoiNbp $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 19:50:11', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/SOm8rjvuBZ $efa $jpm $csco #FridayFeeling'),,,,,
('2017-04-21 19:40:12', 'Is now a good time to buy $jpm $snap $bac $ibm $mpc https://t.co/kPboxxr4Ox $mon $pg $cvx $mrk $cmcsa $txn $snap #FridayFeeling'),,,,,
