('2017-05-09 19:07:08', '#JPMorganChase #organChase CEO Dimon to headline Denver Scholarship Foundation event. Read more: https://t.co/AYOhAGRdGn $JPM'),,,,,,,,,,,,
('2017-05-09 19:04:19', '$GS $BAC $JPM Still consolidating, but the setup is perfect for a run this summer. The 10 yr is now above 2.4. Rate hike coming in June'),,,,,,,,,,,
('2017-05-09 18:55:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/n9TQIbcCZG'),,,,,,,,,,,,
('2017-05-09 18:54:34', 'MUST READ: 8 reasons to expect tech this unicorn to double: https://t.co/eLdf5WrZ9t $AAPL $SPY $JNJ $JPM $BA $GS $ORCL $MU $SIRI $MMM'),,,,,,,,,,,,
('2017-05-09 18:47:15', 'Brokerages Expect JPMorgan Chase &amp; Co. $JPM to Post $1.63 Earnings Per Share https://t.co/grI0xhnvL6 #stocks'),,,,,,,,,,,,
('2017-05-09 18:42:47', 'Brokerages Expect JPMorgan Chase &amp; Co. $JPM to Post $1.63 Earnings Per Share https://t.co/SYYbhgY0ia'),,,,,,,,,,,,
('2017-05-09 18:42:47', 'Brokerages Expect JPMorgan Chase &amp; Co. $JPM to Post $1.63 Earnings Per Share https://t.co/xyokFVZBaN'),,,,,,,,,,,,
('2017-05-09 18:26:53', '#JPMorganChase MOVES-Kevin Child leaves JP Morgan. Read more: https://t.co/R12y6RkpOo $JPM'),,,,,,,,,,,,
('2017-05-09 18:24:36', 'Interesting that $JPM sees Regional Banks as the losers in Fed unwind  https://t.co/C2TwZR9Ht5'),,,,,,,,,,,,
('2017-05-09 18:16:35'," ""Important follow up on #fed loan survey. It's not looking good for financials in the loan dept. US #GrowthSlowingâ€_ https://t.co/ofMkIglgDV"")",,,,,,,,,,,,
('2017-05-09 18:15:15'," ""Banks con't tighten standards for household lending. Weaker demand for #auto loans caused standards to weaken.â€_ https://t.co/buulVFxCkq"")",,,,,,,,,,,,
('2017-05-09 18:13:38', 'When we focused on #fed loan survey in Jan, biz loans and willing to issue credit declining. Nothing changed in Q2â€_ https://t.co/NjdEoRu4ec'),,,,,,,,,,,
('2017-05-09 17:42:54', '#JPMorganChase organ has unleashed another 100,000-point rewards offer to Sapphire credit ca... Read more: https://t.co/NKEZW3EXUE $JPM'),,,,,,,,,,,
('2017-05-09 17:42:17', '#JPMorganChase organ has unleashed another 100,000-point rewards offer to Sapphire credit ca... Read more: https://t.co/BdOWs3ObKK $JPM'),,,,,,,,,,,
('2017-05-09 17:39:10', 'JPMorgan Tells Banks to Partner Up as U.S. Deposit Drain Looms - Bloomberg https://t.co/pycqobWRDC $JPM'),,,,,,,,,,,,
