('2017-05-01 18:01:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/QwBrDoQfjs')
('2017-05-01 18:00:53', 'President opens mouth, banks slip $GS $MS $JPM $C $BAC $CVR $TSO $VLO https://t.co/lmSaD8dbzl')
('2017-05-01 18:00:51', '$JPM this sucker is lagging so much.')
('2017-05-01 18:00:39', 'RT @arnabch01: #AI #ML #BigData #HPC #fintech #roboadvisor to revolutionize #AssetManagement #banking $BLK $C $JPM $GS $WFC $MS $BK https:/…')
('2017-05-01 17:59:58', "$SPX Trump says he's considering breaking up big banks ripple market effect $JPM @MadMoneyOnCNBC @CNBCFastMoney… https://t.co/UOqXOwtkUw")
('2017-05-01 17:59:54', 'President opens mouth, banks slip https://t.co/Lfac4U1yfV $GS $MS $JPM $C')
('2017-05-01 17:59:54', 'President opens mouth, banks slip $GS $MS $JPM $C $BAC $CVR $TSO $VLO https://t.co/JTF70u6ozA')
('2017-05-01 17:59:40', 'President opens mouth, banks slip $GS $MS $JPM $C $BAC $CVR $TSO $VLO https://t.co/0MdbslsV7n')
('2017-05-01 17:58:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Q2LQbKDvjC')
('2017-05-01 17:57:49', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 17:57:24', 'RT @TimoNurminiemi: President opens mouth, #banks slip | #stockmarket #investing $GS $MS $JPM $C $BAC $CVR $TSO $VLO https://t.co/b3z8y8vwXq')
('2017-05-01 17:55:53', 'President opens mouth, #banks slip | #stockmarket #investing $GS $MS $JPM $C $BAC $CVR $TSO $VLO https://t.co/b3z8y8vwXq')
('2017-05-01 17:55:33', 'President opens mouth, banks slip $GS $MS $JPM $C $BAC $CVR $TSO $VLO https://t.co/8YDgKQPN5s')
('2017-05-01 17:54:35', 'President opens mouth, banks slip $GS $MS $JPM $C $BAC $CVR $TSO $VLO https://t.co/3UH0xJIfdZ')
('2017-05-01 17:53:47', '#April Index of #Affluent #investor #confidence #Rises #Milken #Conference @MariaBartiromo @davidfaber @SullyCNBC… https://t.co/oCyyRHXjlv')
('2017-05-01 17:52:04', '$BAC $C $JPM $WFC:\n\nBig Bank Investors Shocked By Trump’s Break-Up Comment:\n\nhttps://t.co/wPJMebwNK8')
('2017-05-01 17:52:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/zRNJuAvKZG')
('2017-05-01 17:48:24', '$SPY $GS $BAC $C $JPM Trump Weighs Breaking Up Wall Street Banks, Raising U.S. #Gas Tax https://www. https://t.co/mFmpIRRAQN via @bpolitics')
('2017-05-01 17:44:32', "It's official. The market will ignore Trump comments 100% of the time until proven wrong. $JPM $BAC $C $WFC https://t.co/nTeSc4W1St")
('2017-05-01 17:40:05', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/rlu8c9QDc1')
('2017-05-01 17:38:45', 'MUST READ: The Pump and Trump short squeeze continues: https://t.co/Sel7t9PPjQ $JPM $DUK $HLF $BBEPQ $TVIX $ULTA $LO $AXAS $ECL $DOV')
('2017-05-01 17:28:11', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 17:27:08', "Wonder if the h&amp;s on $JPM will play the gap down to 70's 🤔that's a November 7th 2016 date. Hmmm @StockCats @RampCapitalLLC @GlobalProTrader")
('2017-05-01 17:26:54', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 17:26:37', '@HalftimeReport @POTUS @realDonaldTrump @VP @stevenmnuchin1 @ENERGY @HaroldHamm @SecretaryPerry Want you SHOULD BRE… https://t.co/Be1tRvyKKL')
