('2017-04-28 15:43:59', 'Sad liquidation day. $vrx $agn $myl $brk  $iep $ko $pep $hlf $cmg $msft $fb $tsla $wfc $jpm $bac $tst $jazz $flxnâ€_ https://t.co/kd9ZbeMzmS')
('2017-04-28 15:31:09', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/3WKVvklBXU')
('2017-04-28 15:22:00', 'Recent Investment Analystsâ€™ Ratings Changes for JPMorgan Chase &amp; Co. $JPM https://t.co/zq3OiGA3SI')
('2017-04-28 15:19:32', 'RT @jpmorgan: #TBT: 105 years ago $JPM participated in a 1911 bond for the construction of the Hukuang railway connecting Central China wâ€_')
('2017-04-28 15:07:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/YHIGrSa9q5')
('2017-04-28 15:07:05', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/KGciF9jIRW')
('2017-04-28 15:07:03', '$JPM:\n\nNew SEC Filing for JPM: Form 424B2 (No. 0000891092-17-003525):\n\nhttps://t.co/02NFBhk7Cy')
('2017-04-28 15:05:22', '#maximize #brand #growth #opportunities with https://t.co/ahimqVpBnW #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-28 15:01:09', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Qz0fT8fanP')
('2017-04-28 14:50:15', '#maximize #brand #growth #opportunities with https://t.co/GzN1ejwV4m #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-28 14:45:21', '#maximize #brand #growth #opportunities with https://t.co/LoQC1JAu2l #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-28 14:35:13', '#maximize #brand #growth #opportunities with https://t.co/ibaiecPsRR #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-28 14:30:52', '10 users on Vetr are bullish on JP Morgan Chase &amp; Co. indicating a STRONG BUY Rating (4.5 stars) for $JPM https://t.co/8bjVa9BdPr')
('2017-04-28 14:30:33', 'God forbid at 10 am we get a 97 confidence reading so quants should sell off banks. STUPID MARKET.\n$jpm $bac $dbâ€_ https://t.co/M3sHTDhBAP')
('2017-04-28 14:21:09'," 'Apollo says Joe Azelby will join as global head of real assets. He ""retired"" from that same role at JPMorgan earlier this year $JPM $APO')"
('2017-04-28 14:20:26', '#maximize #brand #growth #opportunities with https://t.co/FKjRAxK7Na #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-28 14:15:08', 'JPMorgan Chase &amp; Co. $JPM Stake Held by Blue Edge Capital LLC https://t.co/q8BxfGBkpz')
('2017-04-28 14:10:39', '$SNE #SONYresults guidance surprise #WallStreet  $LUK $BBT $DB $MS $GS $JPM $BAC $WFC $C $RBC $LAZ $BNS $SAN $EVRâ€_ https://t.co/DpdNOHZvcb')
('2017-04-28 14:10:22', 'JPM Top news - Apr 28th 2017 $JPM http://https://t.co/ZKRV3eqWUS')
('2017-04-28 14:08:04', 'RT @maxjcm: $JPM exits #R3 to pursue Enterprise #Ethereum Alliance &amp; its own distributed ledger tech #DLT\n\n#blockchain \n\nhttps://t.co/BoFylâ€_')
('2017-04-28 14:07:51', 'RT @maxjcm: $JPM exits #R3 to pursue Enterprise #Ethereum Alliance &amp; its own distributed ledger tech #DLT\n\n#blockchain \n\nhttps://t.co/BoFylâ€_')
('2017-04-28 14:07:36', '$JPM exits #R3 to pursue Enterprise #Ethereum Alliance &amp; its own distributed ledger tech #DLT\n\n#blockchain \n\nhttps://t.co/BoFylsAhwF')
('2017-04-28 14:06:02', '_Ÿ’¥ $PUPS ARE ABOUT TO EXPLODE _Ÿ’¥\n\n$BAC $CHK $WFC $BABA $PBR $JPM $x $RHT $ITUB $WTW $T $BAS $FCX $PFE $RAD $VALE $GEâ€_ https://t.co/z8KCe3n0HS')
('2017-04-28 14:05:28', '_Ÿ’¥ $PUPS ARE ABOUT TO EXPLODE _Ÿ’¥\n\n$BAC $CHK $WFC $BABA $PBR $JPM $x $RHT $ITUB $WTW $T $BAS $FCX $PFE $RAD $VALE $GEâ€_ https://t.co/2Xvo1nEjGs')
('2017-04-28 14:05:14', '_Ÿ’¥ $PUPS ARE ABOUT TO EXPLODE _Ÿ’¥\n\n$BAC $CHK $WFC $BABA $PBR $JPM $x $RHT $ITUB $WTW $T $BAS $FCX $PFE $RAD $VALE $GEâ€_ https://t.co/SAEK3wJhzC')
('2017-04-28 14:01:30', '#JPMorganChase J.P. Morgan follows Goldman Sachs in leaving R3 BeyoncÃ© consortium. Read more: https://t.co/jj6dctVTkF $JPM')
('2017-04-28 13:56:44', 'The Newest ETF May Be The Best Yet https://t.co/Z1tLOtJx8a $AMTD $BLK $CBOE $EV $GS $IVZ $MORN $MSCI $SCHW $SPGI $STT $WETF $DST $JPM')
('2017-04-28 13:55:17', '#maximize #brand #growth #opportunities with https://t.co/Yycairc0fy #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-28 13:50:14', '#maximize #brand #growth #opportunities with https://t.co/vT9HmoiNbp #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-28 13:45:18', '#maximize #brand #growth #opportunities with https://t.co/SOm8rjvuBZ #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-28 13:42:14', 'The Newest ETF May Be The Best Yet https://t.co/GsFmrD3bOY $AMTD $BLK $CBOE $EV $GS $IVZ $MORN $MSCI $SCHW $SPGI $STT $WETF $DST $JPM')
('2017-04-28 13:34:28', 'SFTW Investor long-term stock recommendation: $JPM JP Morgan Chase &amp; Co (SS: 89) #stocks https://t.co/ajLDr7suct')
('2017-04-28 13:23:56', 'Archford Capital Strategies LLC Has $1.363 Million Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/3XOtDvxYHH')
('2017-04-28 13:23:24', 'RT @LISC_HQ: $JPM &amp; LISC partner to grow economic inclusivity through @LISC_FinOpp centers. Read about $JPMâ€™s other efforts here https://t.â€_')
('2017-04-28 13:19:58'," ""#JPMorganChase How a Hong Kong Chinese with 'a bit of Asian shyness' manages JP Morgan's glo... Read more: https://t.co/kqAfr4WU6d $JPM"")"
('2017-04-28 13:15:23', 'Is now a good time to buy $jpm $snap $bac $ibm $mpc https://t.co/Yycairc0fy $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-28 13:13:40', 'RT @CrosbyVentures: Goldman smells blood in Europe... Deutshe Bank struggling to keep hold. $GS $DB $JPM \n\nhttps://t.co/l0yvrinIR0')
('2017-04-28 13:10:26', 'Is now a good time to buy $jpm $snap $bac $ibm $mpc https://t.co/vT9HmoiNbp $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-28 13:05:19', 'Is now a good time to buy $jpm $snap $bac $ibm $mpc https://t.co/SOm8rjvuBZ $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-28 12:45:20'," ""#JPMorgan joins exodus from #R3 #blockchain project. #BigBanks don't trust each other. https://t.co/Z7GeaUiyM5 via @Reuters #Bitcoin $JPM"")"
('2017-04-28 12:16:14', '#JPMorganChase J.P. Morgan follows Goldman Sachs in leaving R3 blockchain consortium. Read more: https://t.co/zjpTPBpWcp $JPM')
('2017-04-28 12:15:35', '#JPMorganChase R3 Consortium Loses Another Key Member as organ &amp; Chase Departs. Read more: https://t.co/1yF0LImOQj $JPM')
('2017-04-28 11:57:42', 'RT @GoldenOxen: Why Is JPMorgan Trying To Corner The Silver Market? https://t.co/Uz1u8nfG9J $JPM $SLV $AGQ $PSLV $USLV $SIVR $ZSL $SLVO $DSâ€_')
('2017-04-28 11:50:48', 'Why Is JPMorgan Trying To Corner The Silver Market? https://t.co/Uz1u8nfG9J $JPM $SLV $AGQ $PSLV $USLV $SIVR $ZSL $SLVO $DSLV $DBS $USV')
('2017-04-28 11:40:18', 'Never stop being creative. https://t.co/Yycairc0fy $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
('2017-04-28 11:35:27', 'JPMorgan Chase &amp; Co. $JPM Rating Lowered to Buy at Vetr Inc. https://t.co/VSjxNU53rC')
('2017-04-28 11:35:08', 'Never stop being creative. https://t.co/vT9HmoiNbp $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
