('2017-04-19 14:38:03', 'RT @jpmorgan: $JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/‰Û_'),,,,,,,,,,,
('2017-04-19 14:36:52', 'RT @jpmorgan: $JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/‰Û_'),,,,,,,,,,,
('2017-04-19 14:27:26', 'RT @jpmorgan: $JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/‰Û_'),,,,,,,,,,,
('2017-04-19 14:26:20', '$SPY 2days move looks PRIME! Tick Tock!! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB‰Û_ https://t.co/qeSFVCt9LY'),,,,,,,,,,,
('2017-04-19 14:21:46', 'RT @jpmorgan: $JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/‰Û_'),,,,,,,,,,,
('2017-04-19 14:20:42'," ""America Has A New Banking King And It's 52% Undervalued https://t.co/cuclCj9uTf $WFC $JPM"")",,,,,,,,,,,
('2017-04-19 14:20:37', 'RT @bespokeinvest: Key charts from this post: https://t.co/JzQAGDRXkR $MS $GS $C $JPM $BAC $WFC $XLF $SPY $$ https://t.co/O4BpSh1jp5'),,,,,,,,,,,
('2017-04-19 14:20:13', 'RT @jpmorgan: $JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/‰Û_'),,,,,,,,,,,
('2017-04-19 14:19:47', 'RT @bespokeinvest: Key charts from this post: https://t.co/JzQAGDRXkR $MS $GS $C $JPM $BAC $WFC $XLF $SPY $$ https://t.co/O4BpSh1jp5'),,,,,,,,,,,
('2017-04-19 14:19:36', 'RT @jpmorgan: $JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/‰Û_'),,,,,,,,,,,
('2017-04-19 14:19:12', 'JPM Top news - Apr 19th, 2017 $JPM http://https://t.co/8RbqtUfeUp'),,,,,,,,,,
('2017-04-19 14:18:34', 'RT @bespokeinvest: Key charts from this post: https://t.co/JzQAGDRXkR $MS $GS $C $JPM $BAC $WFC $XLF $SPY $$ https://t.co/O4BpSh1jp5'),,,,,,,,,,,
('2017-04-19 14:18:20', 'RT @jpmorgan: $JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/‰Û_'),,,,,,,,,,,
('2017-04-19 14:17:00', 'RT @jpmorgan: $JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/‰Û_'),,,,,,,,,,,
('2017-04-19 14:16:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/1vugTUHMEU'),,,,,,,,,,,
('2017-04-19 14:14:14', '$JPM filed Form 424B2 with the SEC. Most mentioned words: notes, value, underlying, supplement, market'),,,,,,,
('2017-04-19 14:13:13', 'RT @jpmorgan: $JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/‰Û_'),,,,,,,,,,,
('2017-04-19 14:11:51', '$JPM examined satellite imagery of traffic at U.S. malls. See what #bigdata shows about the outlook for retail. https://t.co/yrJEH7O55a'),,,,,,,,,,,
