('2017-04-14 13:35:36'," ""RT @LauraJKeller: Ahead of $WFC &amp; $C plus $JPM analyst call here's our @BloombergTV big-bank preview @RamyInocencio &amp; @HaidiLun https://t.â€_"")"
('2017-04-14 13:31:14'," ""$TSLA $ETRM $JPM $WFC $IONS $F $MDXG $CMG $WLL $DVN $NTNX $X $TMUS $EVBG $HNR $C $CRC $NE $APOG Today's LIVE trades: https://t.co/iB5eEbSAIC"")"
('2017-04-14 13:28:46'," 'RT @TN: speaking of Prof. Sornette\'s models here is a recent signal from ""bubble end flag - ST model"" for $JPM https://t.co/TDUeXdSMmI')"
('2017-04-14 13:28:29', 'Commented on Breaking Down Bank Earnings https://t.co/BVv9pS1yN6 $JPM $C $WFC')
('2017-04-14 13:25:06', 'JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/wVkPde2w2l $JPM')
('2017-04-14 13:23:54'," ""@tweetstar10 so how do you reconcile $STZ  $DRI  $JPM and $CTAS  strong earnings ? let me guess..I'm cherry picking."")"
('2017-04-14 13:19:08', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 13:18:19', 'RT @AmyDaniel212: Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/vT9HmoiNbp $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlâ€_')
('2017-04-14 13:15:57', 'Q1 Earnings Season Ramps Up - Focus On Banks $C $JPM $WFC https://t.co/nuPvS00fPu')
('2017-04-14 13:15:21', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/Yycairc0fy $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-14 13:13:20', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-14 13:10:24', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/vT9HmoiNbp $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-14 13:09:21', 'FREE DAILY OPTION TRADE. Sign up for our DAILY FREE TRADE at https://t.co/78FVQDKYyw \n\n$LULU $UAL $WFM $NFLX $BABA $AMZN $GOOGL $C $BAC $JPM')
('2017-04-14 13:08:55', 'RT @SeekingAlpha: JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/Bg1lCJBL6P $JPM')
('2017-04-14 13:08:14', '$JPM:\n\nJPMorgan Results: Thank You For The Volatility Mr. Trump:\n\nhttps://t.co/nw7moG1Ec8')
('2017-04-14 13:06:34', 'JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/0NDGT3FrcY $JPM')
('2017-04-14 13:05:29', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/SOm8rjvuBZ $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-14 13:05:07', 'JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/upx5742lBV $JPM')
('2017-04-14 13:05:07', 'JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/Bg1lCJBL6P $JPM')
('2017-04-14 13:00:07'," ""Today's Corporate #Earnings #stockmarket #daytrading #bolsa #NYSE\n$JPM $1.512\n$C $1.237\n$CBSH $0.649\n$FHN $0.228\n$PNC $1.838"")"
('2017-04-14 12:58:24', 'RT @AmyDaniel212: #Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/vT9Hmo1bMP $jpm $xom $mon $xom $mon #FridayBlâ€_')
('2017-04-14 12:50:28', 'BoAML on $JPM @jpmorgan - Best in class BUY $99 PT. Yeah but in broken quant market does it matter?\n\n@karenfinermanâ€_ https://t.co/qGV5EQDtR8')
('2017-04-14 12:46:38', 'Above the 40 - The S&amp;P 500 Suffers A Convincing End To Bullish Divergence $C $CMG $JPM $SVXY $WFC $QQQ ... https://t.co/iSDqXVrDpi')
('2017-04-14 12:46:38', 'Above the 40 - The S&amp;P 500 Suffers A Convincing End To Bullish Divergence $C $CMG $JPM $SVXY $WFC $QQQ ... https://t.co/5rsvyK5ERe')
('2017-04-14 12:42:34', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-14 12:28:15'," ""RT @FoxBusiness: JPMorgan's Dimon: Consumers strong retail tumult 'won't be a big deal' $JPM https://t.co/pcypfikwYq"")"
('2017-04-14 12:15:23', 'Never stop being creative. https://t.co/fhMmdjxaHM $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
('2017-04-14 11:56:02'," ""#JPMorgan gives optimistic outlook! $JPM: 'U.S. #consumers and businesses are healthy'. https://t.co/SggRosphoo https://t.co/Ado0GROfDW"")"
('2017-04-14 11:53:03', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 11:52:43', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 11:52:25', 'JPMorgan Chase &amp; Co. $JPM Downgraded by Vetr Inc. https://t.co/vyus9l7coy')
('2017-04-14 11:48:21', 'RT @AmyDaniel212: Never stop being creative. https://t.co/vT9HmoiNbp $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFâ€_')
('2017-04-14 11:40:20', 'Never stop being creative. https://t.co/Yycairc0fy $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
('2017-04-14 11:36:16', '#Earnings Reporting Season Kicks Off  $BRK-A  $BRK-B  $C  $JPM  $WFC  $TSLA  $OIL  $USO https://t.co/7P0U7t3QxS')
('2017-04-14 11:35:20', 'Never stop being creative. https://t.co/vT9HmoiNbp $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
('2017-04-14 11:30:33', 'Never stop being creative. https://t.co/SOm8rjvuBZ $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
