('2017-04-21 15:06:42', 'As our thanks you can also choose one of these free trading guides:\n\nhttps://t.co/M4atUQr2Zu\n\n$STUDY $NFLX $PCLN $GS $FB $AAPL $NVDA $AMZN')
('2017-04-21 15:05:18', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/ddJt5HPd04 $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 15:04:09', '$NFLX rolling over')
('2017-04-21 15:03:49', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:03. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:02:19'," ""#Netflix 's Next Billion $ Opportunity Not What You Might Think $DIS $NFLX #merchandise #streaming #Bingewatch   https://t.co/zbU6uMOSHA"")"
('2017-04-21 15:01:38', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/GzN1ejwV4m $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:59:34', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:59. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:57:43', 'Q3 2017 EPS Estimates for Netflix Inc. $NFLX Increased by Analyst https://t.co/PUabLJXixa')
('2017-04-21 14:57:32', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:57. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:57:04', 'Netflix Inc. $NFLX Price Target Raised to $73.00 https://t.co/Gm2cj5W88H')
('2017-04-21 14:56:16', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:56. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:55:11', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/LoQC1JAu2l $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:53:55', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:53. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:52:36', 'RT @SharePlanner: Watch List Stocks: $NFLX $BERY $BWA - #stocks #trading #wallstreet SharePlanner https://t.co/p6Gajj9iFv')
('2017-04-21 14:50:18', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:50. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:50:14', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/NsIdKlatAs $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:49:12', 'RT @ExactOptionPick: Free Daily Option Trade of the Day  \n\n https://t.co/w7oyBzw5w2 \n\n$NVDA $TSLA $M $V $LULU $AAPL $NFLX')
('2017-04-21 14:48:09', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:48. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:47:52', '$nflx nice bounce again we had this small call play note yestrday(premium)-short term play https://t.co/bwy8PNfR0Z')
('2017-04-21 14:45:18', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/ibaiecPsRR $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:44:55', 'Just bought shares 11 $AMZN 40 $NFLX 38 $AAPL 35 $FB 74 $S 1 $TSLA you guys better not let me down! lol.  Thank you @TDAmeritrade')
('2017-04-21 14:40:15', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/fhMmdjxaHM $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:39:35', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:39. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:37:09', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:37. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:36:22', 'Free Daily Option Trade of the Day  \n\n https://t.co/w7oyBzw5w2 \n\n$NVDA $TSLA $M $V $LULU $AAPL $NFLX')
('2017-04-21 14:36:21', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:36. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:35:47'," 'RT @FoxBusiness: What does Amazon\'s $50 million ""Thursday Night Football"" deal mean for the streaming wars? $NFLX  https://t.co/ATgV3kNNrE')"
('2017-04-21 14:35:16', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/8Rb3ECvffD $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:31:58', '$NFLX trying for day 2 (10:30am ref) \n~$1 to the 8sma')
('2017-04-21 14:30:34', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:30. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:30:02', 'Haha $NFLX thinks I might like #girlboss...')
('2017-04-21 14:30:01', 'RT @MindMakesMatter: $NFLX potential for DownRev here. Could be nasty')
('2017-04-21 14:29:02', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:28. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:28:54', '$NFLX 142.40 resistance tested today. Next break on 5 minute should be good for 143.90. I had 145 as the pin from Wed. Came close')
('2017-04-21 14:27:12', 'RT @SharePlanner: Watch List Stocks: $NFLX $BERY $BWA - #stocks #trading #wallstreet SharePlanner https://t.co/p6Gajj9iFv')
('2017-04-21 14:26:54', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:26. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:26:52', 'Ancient ruins of a lost civilization... via @MacCocktail $NFLX https://t.co/Fjk2rWpDLo')
('2017-04-21 14:25:28', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:25. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:25:10', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/wxAc60pNhn $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:24:48', '$NFLX - ripper lifestyle https://t.co/HSzc8Lj84D')
('2017-04-21 14:23:08', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:23. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:21:24', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:21. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:21:04', 'Paul Tudor Jones Says U.S. Stocks Should ‰Û÷Terrify‰Ûª Janet Yellen. Unsustainable levels. https://t.co/3psYRWWJun $aapl $nflx $snap $twtr $spy')
('2017-04-21 14:20:57', 'Richard N. Barton Sells 1000 Shares of Netflix Inc. $NFLX Stock https://t.co/nyVvSDwd57')
('2017-04-21 14:20:17', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/kip5oGN9Vd $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:20:15', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:20. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:19:12', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:19. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:18:12', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:18. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:17:34', 'NFLX Top news - Apr 21st 2017 $NFLX http://https://t.co/TRWUw25WmQ')
('2017-04-21 14:15:28', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/yQYLOKn5Qu $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:14:59', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:15. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:14:47', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:14. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:13:40', 'Research Analysts Set Expectations for Netflix Inc.‰Ûªs Q2 2017 Earnings $NFLX https://t.co/9kBVgYkVSk')
('2017-04-21 14:12:25', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:12. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:11:52', 'RT Options Scanner shows: Netflix Inc. $NFLX July 160 call\noption implied volatility increased 1% to 30.')
