('2017-05-02 14:02:31'," 'Ever awakened thinking: ""Is $NFLX breaking out?"" Fullfill your morning thoughts at https://t.co/KwOgHPFu4F #Breakout #trading #UKbiz')",,,,,,,,,,,,,,,,
('2017-05-02 14:01:05', 'ALL-TIME HIGHS $AAPL $ADBE $FB $GOOG $MSCI $MSFT $NFLX $SQ $TWLO $Z https://t.co/PFkt6EqazR'),,,,,,,,,,,,,,,,
('2017-05-02 13:58:37'," ""RT @davidmoadel: $AMD and $LL It's a race to the bottom! weeeee $QQQ $SPY $DIA $DJIA $GOOG $GOOGL $INTC $MSFT $AMZN $NFLX $FB #stockmarket‰Û_"")",,,,,,,,,,,,,,,,
('2017-05-02 13:57:51'," ""Apple Earnings: What To Expect From The World's Richest Tech Company https://t.co/0M6cfDXAgJ $AAPL $NFLX $QCOM $SSNLF $TSLA $TSM $TOS"")",,,,,,,,,,,,,,,,
('2017-05-02 13:57:26'," ""$AMD and $LL It's a race to the bottom! weeeee $QQQ $SPY $DIA $DJIA $GOOG $GOOGL $INTC $MSFT $AMZN $NFLX $FB #stockmarket #earnings #stocks"")",,,,,,,,,,,,,,,,
('2017-05-02 13:56:21', '$NFLX showing that these sliver group of stocks want to remain bullish---had  to put on some $AMZN $GOOGL butterflies in case they run $1k'),,,,,,,,,,,,,,,,
('2017-05-02 13:55:48', 'RT @dakotafinancial: Royal Bank of Canada Reaffirms Outperform Rating for Netflix Inc. $NFLX https://t.co/Hmykpzuhoc'),,,,,,,,,,,,,,,,
('2017-05-02 13:48:57'," ""Liar's Poker by Michael Lewis: https://t.co/b8y3x8mLYr $WFM $JPM $C $AAPL $TSLA $NFLX $SPY"")",,,,,,,,,,,,,,,,
('2017-05-02 13:47:53'," ""$NFLX All depends on earnings now. Let's wait."")",,,,,,,,,,,,,,,,
('2017-05-02 13:45:55', '$AMD Holy moly. Getting ready to break 11..... #stockmarket #stocks #investing #finance $INTC $MSFT $QQQ $SPY $GOOG $GOOGL $AMZN $AAPL $NFLX'),,,,,,,,,,,,,,,,
('2017-05-02 13:41:17', '@jimcramer wth 250b in the bank how are they not getting higher multiples for the stock value? compared to $amzn $fb $nflx $goog #FAANG'),,,,,,,,,,,,,,,,
('2017-05-02 13:40:57', 'RT @ScalpMaster1: Long Watches: $CMI $SHPG $ANGI $COH $THC $EXEL $NFLX!! Short Watches: $MEDP $AMD,,,,,,,,,,,,,,,,
('2017-05-02 13:40:39', '$AAPL 5 Ways to Pay Less for #Stocks than Everybody Else https://t.co/0NGKGYqn0x #stockmarket #investing #options $AMZN $AMD $LL $FB $NFLX'),,,,,,,,,,,,,,,,
('2017-05-02 13:39:17', 'Royal Bank of Canada Reaffirms Outperform Rating for Netflix Inc. $NFLX https://t.co/Hmykpzuhoc'),,,,,,,,,,,,,,,,
('2017-05-02 13:34:55', 'EOP Option Trade of the Day \n\n https://t.co/CwlXpeds9S \n\n$TWTR $AMD $PFE $MRK $MYL $NVDA $BABA $NFLX $AAPL $TSLA'),,,,,,,,,,,,,,,,
('2017-05-02 13:31:44'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 13:31:29', 'RT @option_snipper: REMINDER: NO greedy. MOST people gonna lose HUGE. use ONLY 30% YTD profit on strong names $amzn $nflx $tsla $nvda. Prot‰Û_'),,,,,,,,,,,,,,,,
('2017-05-02 13:30:54'," ""Can Hulu's New Series Teach Netflix an Old Trick? https://t.co/tXpJMBrONb $AMZN $NFLX https://t.co/ITGJzLe8Ps"")",,,,,,,,,,,,,,,,
('2017-05-02 13:30:04', '#Netflix #NFLX stock gained 10% since it announced the China deal.Can d stock head even higher?@AbhishekSanat $NFLX https://t.co/tYXYYlW4tp'),,,,,,,,,,,,,,,,
('2017-05-02 13:29:27', 'RT @KenraInvestors: Baidu - Back To Growth With Powerful Allies https://t.co/MYMoglYBnY $BABA $TCEHY $TCTZD $NFLX $BIDU'),,,,,,,,,,,,,,,,
('2017-05-02 13:16:52', '$NFLX sum put vol=31925 sum call vol=40042 PutCallRatio=0.80 expiration 05/05/2017 . https://t.co/062B8rj7QR https://t.co/AemL2mR3Ij'),,,,,,,,,,,,,,,,
('2017-05-02 13:16:04', '$NFLX:\n\nCan Hulu‰Ûªs New Series Teach Netflix an Old Trick?:\n\nhttps://t.co/PX2ELVHCE7'),,,,,,,,,,,,,,,,
('2017-05-02 13:13:43'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 13:11:43', 'RT @NaviAvatar1: $NFLX Looks like the Hackers creating free publicity for top Streaming Stock Netflix- And $AMZN powers ahead as well https‰Û_'),,,,,,,,,,,,,,,,
('2017-05-02 13:03:54', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/4mJzTXVIW7\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA'),,,,,,,,,,,,,,,,
('2017-05-02 13:03:54', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/JTDXZ3j6tY\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA'),,,,,,,,,,,,,,,,
('2017-05-02 13:03:54', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/M4atUQr2Zu\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA'),,,,,,,,,,,,,,,,
('2017-05-02 13:03:54', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/02a8LnzvOL\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA'),,,,,,,,,,,,,,,,
('2017-05-02 13:03:47', 'RT @scalpthatstock: T3 Live Morning Call Express - Watchful Eyes Over Apple $AAPL Earnings\n\nhttps://t.co/EgJhKheWG3\n\n$SPX $IWM $XLF $TSLA $‰Û_'),,,,,,,,,,,,,,,,
('2017-05-02 13:00:53', 'T3 Live Morning Call Express - Watchful Eyes Over Apple $AAPL Earnings\n\nhttps://t.co/EgJhKheWG3\n\n$SPX $IWM $XLF $TSLA $NFLX'),,,,,,,,,,,,,,,,
('2017-05-02 12:59:27', 'Long Watches: $CMI $SHPG $ANGI $COH $THC $EXEL $NFLX!! Short Watches: $MEDP $AMD,,,,,,,,,,,,,,,,
('2017-05-02 12:59:00'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:49:55'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:40:11', '#WiadomoÅ_ciRynkowe $AAPL $NFLX $DISH $CAT https://t.co/bQIsHXiqIc'),,,,,,,,,,,,,,,,
('2017-05-02 12:40:06'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:37:10', '#WiadomoÅ_ciRynkowe $AAPL $NFLX $DISH $CAT https://t.co/iGg3MRzpKI'),,,,,,,,,,,,,,,,
('2017-05-02 12:30:03'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:29:46'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:27:36'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:24:30', 'RT @option_snipper: REMINDER: NO greedy. MOST people gonna lose HUGE. use ONLY 30% YTD profit on strong names $amzn $nflx $tsla $nvda. Prot‰Û_'),,,,,,,,,,,,,,,,
('2017-05-02 12:22:08'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:21:50'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:21:33', 'REMINDER: NO greedy. MOST people gonna lose HUGE. use ONLY 30% YTD profit on strong names $amzn $nflx $tsla $nvda.‰Û_ https://t.co/djiaWPAxZM'),,,,,,,,,,,,,,,,
('2017-05-02 12:12:36'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:11:17', 'https://t.co/iBkRRa9cWN.  $AAPL $FB $NFLX'),,,,,,,,,,,,,,,,
('2017-05-02 12:09:47'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:07:54'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:07:29', 'Cantor Fitzgerald Raises Netflix Inc. $NFLX Price Target to $165.00 https://t.co/6Nscn8Fxzs'),,,,,,,,,,,,,,,,
('2017-05-02 12:04:27'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:04:20', 'Netflix Inc. $NFLX Earns Hold Rating from BMO Capital Markets https://t.co/ceq7P9RqTB'),,,,,,,,,,,,,,,,
('2017-05-02 12:04:17', '$ES_F $NFLX $AAPL 5/2/17 looks like nothing happened over night so p1 83 test rally up p2 83 test fail 77 test cons‰Û_ https://t.co/4hR0kN0DNi'),,,,,,,,,,,,,,,,
('2017-05-02 12:01:32'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 12:00:21', 'RT @DailyCaller: The New ‰Û÷House Of Cards‰Ûª Season 5 Trailer Is Exactly What You‰Ûªve Been Waiting For https://t.co/TmudmLJe0i #HouseOfCards #N‰Û_'),,,,,,,,,,,,,,,,
('2017-05-02 11:58:12'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:57:20'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:55:18'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:54:42'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:54:28'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:54:22'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:54:01', 'Supreme Court to Weigh in on Net Neutrality? Why it Matters for $GOOGL $NFLX $T $AMZN... \nhttps://t.co/4ipmtL7J0X'),,,,,,,,,,,,,,,,
('2017-05-02 11:52:41'," ""2000: Blockbuster could've bought Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/iF5SuRtlpF via ValaAfshar"")",,,,,,,,,,,,,,,,
('2017-05-02 11:50:54'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:50:28'," ""RT:ValaAfshar:2000: Blockbuster could've bought Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/QBYoSECXk9"")",,,,,,,,,,,,,,,,
('2017-05-02 11:49:52'," ""FANG Group Gets A New Addition - Cramer's Mad Money (5/1/17) https://t.co/Q6qp9AlMOv $FB $AMZN $NFLX $GOOG $AAPL $IBM $OCLR $XLNX $JCI"")",,,,,,,,,,,,,,,,
