('2017-04-12 15:19:40', 'PC shipments stabilizing with HP making a rally $HPQ $AAPL $DVMT #tech #Retail #stocks #Finance  https://t.co/v3qugGM7d1')
('2017-04-12 15:18:38', 'Apple: Whoâ€™s Chips Will They Dump Next? Asks Pac Crest https://t.co/3bLI4KPqjb $AAPL $IGZ $SWKS $QRVO $CRUS $SYNA vâ€_ https://t.co/cnu5vMfgRm')
('2017-04-12 15:14:51', 'RT @treabase: $AAPL #patent 9621016: Flat coil assembly for Lorentz actuator mechanism https://t.co/RzpJBdSY5L #tech #IP https://t.co/6deâ€_')
('2017-04-12 15:14:17', 'Looks like #Fitbit facing issues with #smartwatch development -\n $FIT #Pebble $AAPL #AppleWatch $GOOG #AndroidWear https://t.co/bzS2eIkdq5')
('2017-04-12 15:14:08', 'Track curated news and tweets for multiple tickers - US Tech Giants https://t.co/J74uV6qAnD $AAPL $GOOGL $MSFT $FB')
('2017-04-12 15:12:23'," ""Samsung Galaxy S8 will sell well. But this year's iPhone will sell really well and $AAPL will take home the most profits in the industry."")"
('2017-04-12 15:11:24'," ""RT @barronstechblog: Apple: Whose Chips Will They Dump Next? Asks Pac Crest - Tech Trader Daily - Barron's $AAPL $DLG $SYNA $CRUS $SWKS httâ€_"")"
('2017-04-12 15:10:49', '$AAPL #patent 9621016: Flat coil assembly for Lorentz actuator mechanism https://t.co/RzpJBdSY5L #tech #IP https://t.co/6deTs1qmIq')
('2017-04-12 15:10:47'," ""RT @finzine: $AAPL Apple's next iPhone is set to be a blowout in China analyst says https://t.co/0bXAxMeZ1w"")"
('2017-04-12 15:10:35'," ""Looks like #Samsung's #Bixby #voiceAssistant will not ship with #GalaxyS8 - $GOOG #Alexa #Siri $AAPL $AMZN https://t.co/xu330UimKR"")"
('2017-04-12 15:10:21', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p \n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQâ€_')
('2017-04-12 15:05:01', '$BBR  BlackBerry Awarded $814.9 Million in Arbitration Against Qualcomm  $VZ $TMUS $S $CMCSA $GOOGL $AMT $AAPL $AMT')
('2017-04-12 15:04:56'," ""$AAPL Apple's next iPhone is set to be a blowout in China analyst says https://t.co/0bXAxMeZ1w"")"
('2017-04-12 15:04:51', 'RT @cheddar: Apple could move away from multiple suppliers. Is this the right move for the iPhone maker? @fredmcclimans weighs in. #Cheddarâ€_')
('2017-04-12 15:03:53', 'RT @cheddar: Apple could move away from multiple suppliers. Is this the right move for the iPhone maker? @fredmcclimans weighs in. #Cheddarâ€_')
('2017-04-12 15:02:44', 'RT @musingcogitator: Wall Street Breakfast: Safe Havens Maintain Gains As Diplomacy Churns https://t.co/Sx7Jmeyk9I $SPY $QQQ $AAPL $AMZNâ€_')
('2017-04-12 15:00:35', 'Apple could move away from multiple suppliers. Is this the right move for the iPhone maker? @fredmcclimans weighs iâ€_ https://t.co/c7KXpXvGl5')
('2017-04-12 15:00:30', 'A Simple Day Trading Strategy/PRB https://t.co/DJHmxfxWXQ via @YouTube #Trading #Stocks #Options #Success $AAPL $FB $AMZN $TWTR $GS $GM $F')
('2017-04-12 14:59:42', 'RT @talkingmoose_: Every company that uses #h1b has questionable stock valuation. #techBubble $INTC $GOOG $MSFT $IBM $QCOM $NVDA $AAPL $AMZâ€_')
('2017-04-12 14:58:18', 'Every company that uses #h1b has questionable stock valuation. #techBubble $INTC $GOOG $MSFT $IBM $QCOM $NVDA $AAPLâ€_ https://t.co/Dnc2xyKKzF')
('2017-04-12 14:58:04', '$AAPL $AP:\n\nAppleâ€™s next iPhone is set to be a blowout in China analyst says:\n\nhttps://t.co/50ITjjZMGH')
('2017-04-12 14:58:01'," ""âœ“ The @macworld Wish list: What we'd like to see in a new iMac â˜_ https://t.co/aXUOsgY1h0\n#Apple $AAPL"")"
('2017-04-12 14:57:11', 'Samsung Tops Smartphone Shipments Chart in Q1 due to Flooding the Market with Massive Low-Endâ€_â€_ https://t.co/FhO6Vd5HCv')
('2017-04-12 14:56:37', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p \n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQâ€_')
('2017-04-12 14:56:29', 'Fitbit (FIT) Shares Down More Than 3% on Watch Launch Delay https://t.co/XFY3Y8VNuW $FIT $AAPL $GOOG $GOOGL https://t.co/ZD8566WEpS')
('2017-04-12 14:53:51', 'RT @Ascend_Trading: New user interface COMING IN NEXT WEEKS! $0 limit orders! FREE demo: https://t.co/r9bJIBHuVz   $SPY $QQQ $AAPL $TWTR $Fâ€_')
('2017-04-12 14:52:52', '$snap who are these smarties buying at 20.50 again? feels forced and only pops when volume drops.. $FB $SPY $qqq $TSLA $AAPL')
('2017-04-12 14:52:33', 'RT @ExactOptionPick: Ready for earnings trades like our $SQ calls &amp; $C Puts? FREE OPTION TRADES.  \n\nhttps://t.co/78FVQDKYyw\n$NFLX  $AMZN $Gâ€_')
('2017-04-12 14:52:33', 'RT @ExactOptionPick: Ready for earnings trades like our $SQ calls &amp; $C Puts? FREE OPTION TRADES.  \n\nhttps://t.co/78FVQDKYyw\n$NFLX  $AMZN $Gâ€_')
('2017-04-12 14:52:21', 'Ready for earnings trades like our $SQ calls &amp; $C Puts? FREE OPTION TRADES.  \n\nhttps://t.co/78FVQDKYyw\n$NFLX  $AMZN $GS $BABA $TSLA $AAPL')
('2017-04-12 14:52:18', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p \n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQâ€_')
('2017-04-12 14:51:21', 'Qualcomm: Little To Fear In The Long Term https://t.co/gWD58V2BKA $AAPL #APPLE $INTC $NXPI $QCOM')
('2017-04-12 14:50:08', 'RT @Ascend_Trading: New user interface COMING IN NEXT WEEKS! $0 limit orders! FREE demo: https://t.co/r9bJIBHuVz   $SPY $QQQ $AAPL $TWTR $Fâ€_')
('2017-04-12 14:49:59', '3 Stocks (Monopolies) That AreImpossible To Short $AAPL $GOOG $GOOGL $FB $AMZN $CI $ANTM $HUM $AET $NFLX $MSFT $YHOO https://t.co/fObyq2A9rl')
('2017-04-12 14:48:48', 'Qualcomm: Little To Fear In The Long Term https://t.co/LXIrQA4S5b $AAPL #APPLE $INTC $NXPI $QCOM')
('2017-04-12 14:48:47', 'Qualcomm: Little To Fear In The Long Term https://t.co/NfjXUMlvbZ $AAPL #APPLE $INTC $NXPI $QCOM')
('2017-04-12 14:48:37', 'RT @Ascend_Trading: New user interface COMING IN NEXT WEEKS! $0 limit orders! FREE demo: https://t.co/r9bJIBHuVz   $SPY $QQQ $AAPL $TWTR $Fâ€_')
('2017-04-12 14:47:01', 'RT @andreascseh: #WTF Apple #India Recycling Unsold Golden #iPhone7Plus $AAPL _Ÿ˜‚ @DavidInglesTV https://t.co/2maoRPPHRm')
('2017-04-12 14:46:54', 'RT @marketexclusive: Production Of Fitbit Inc (NYSE:FIT) Smartwatch Plagued By Problems https://t.co/iKM2bzrYSb $FIT $AAPL')
('2017-04-12 14:46:43', 'RT @BQInvstTraining: Top 10 Best Stock Performers (2017 YTD) @RobinSpeziale \n$FIZZ $TC $PHO $JTR $SIS $AAPL $FB $BABA $NFI $CGC\nImpressive!â€_')
('2017-04-12 14:45:37', 'RT @ArjunKharpal: Indiaâ€™s smartphone market is seeing a huge shift but Apple might not see the benefits for at least 2 years https://t.co/Nâ€_')
('2017-04-12 14:45:09', 'Best Unlock Rate #Wholesale Unlock Code #Apple #samsung #InstantUnlock #LG #unlock #unlocking $AAPL #MasterDealer #GSM #Reseller')
('2017-04-12 14:45:06', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p \n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQâ€_')
('2017-04-12 14:44:34', '#WTF Apple #India Recycling Unsold Golden #iPhone7Plus $AAPL _Ÿ˜‚ @DavidInglesTV https://t.co/2maoRPPHRm')
('2017-04-12 14:44:14', 'RT @marketexclusive: Production Of Fitbit Inc (NYSE:FIT) Smartwatch Plagued By Problems https://t.co/iKM2bzrYSb $FIT $AAPL')
('2017-04-12 14:44:09', 'RT @marketexclusive: Production Of Fitbit Inc (NYSE:FIT) Smartwatch Plagued By Problems https://t.co/iKM2bzrYSb $FIT $AAPL')
('2017-04-12 14:43:30'," ""Who Will Become The World's First $1 Trillion Company? $GOOG $GOOGL $AAPL $MSFT $AMZN $FB $TSLA $BRK.A $BRK.B $XOM https://t.co/rRRsYcDdO9"")"
('2017-04-12 14:43:06', 'Wall Street UG/DG shenanigans on the likes of $AAPL $GOOGL $AMZN $NFLX et al. @tim_cook @JeffBezos @reedhastings  https://t.co/G0BXvtcbD5')
('2017-04-12 14:42:34'," ""RT @barronstechblog: Apple: Whose Chips Will They Dump Next? Asks Pac Crest - Tech Trader Daily - Barron's $AAPL $DLG $SYNA $CRUS $SWKS httâ€_"")"
('2017-04-12 14:42:07'," ""RT @barronstechblog: Apple: Whose Chips Will They Dump Next? Asks Pac Crest - Tech Trader Daily - Barron's $AAPL $DLG $SYNA $CRUS $SWKS httâ€_"")"
('2017-04-12 14:40:48', '$AAPL #patent 9620695: Micro device with stabilization post https://t.co/YuLzrrZI5K #tech #IP https://t.co/kG5YwjGuCK')
('2017-04-12 14:39:17', 'Wall Street Breakfast: Safe Havens Maintain Gains As Diplomacy Churns https://t.co/Sx7Jmeyk9I $SPY $QQQ $AAPL $AMZN $AVGO $DVMT $FXCOF')
('2017-04-12 14:39:02', 'RT @SAlphaTech: Qualcomm: A Cheap Stock In An Expensive Market https://t.co/otZNy6jDxK $AAPL $INTC $QCOM $NXPI')
('2017-04-12 14:38:40', 'RT @optionslisa: Now only holding $aapl $S $nflx calls .. $bac $chk stock')
('2017-04-12 14:37:34', 'RT @marketexclusive: Production Of Fitbit Inc (NYSE:FIT) Smartwatch Plagued By Problems https://t.co/iKM2bzrYSb $FIT $AAPL')
('2017-04-12 14:37:08', 'Top Stock searches on message boards and Twitter: $AAPL $USO $SPY $AMZN $FB (10:37 am) #stocks #finance #stockmarket #StockPicks')
('2017-04-12 14:34:42', '$aapl not looking good here  support way down at 140.30 resistance at 142.26')
('2017-04-12 14:34:17'," ""RT @barronstechblog: Apple: Whose Chips Will They Dump Next? Asks Pac Crest - Tech Trader Daily - Barron's $AAPL $DLG $SYNA $CRUS $SWKS httâ€_"")"
('2017-04-12 14:33:58', 'Large Caps Beating the S&amp;P | $AAPL $MSFT $AMZN $BRK.A $BRK.B $FB $JPM $BABA $BAC $V $MA $MRK $C $UNH $PEP $SQ | https://t.co/C3ymu6CDDA')
('2017-04-12 14:33:47', 'RT @Ascend_Trading: New user interface COMING IN NEXT WEEKS! $0 limit orders! FREE demo: https://t.co/r9bJIBHuVz   $SPY $QQQ $AAPL $TWTR $Fâ€_')
('2017-04-12 14:33:32', 'New user interface COMING IN NEXT WEEKS! $0 limit orders! FREE demo: https://t.co/r9bJIBHuVz   $SPY $QQQ $AAPLâ€_ https://t.co/z6QciKYE4h')
('2017-04-12 14:33:23', 'RT @marketexclusive: Production Of Fitbit Inc (NYSE:FIT) Smartwatch Plagued By Problems https://t.co/iKM2bzrYSb $FIT $AAPL')
('2017-04-12 14:32:15', 'Silicon Valley: A Discrimination Issue? $NFLX $TWTR $YHOO $QQQ $DDD $QCOM $BBRY $NVDA $HPQ $HPE $GPRO $GOOG $AAPL | https://t.co/HuOjixp5pa')
('2017-04-12 14:30:00', 'Qualcomm: A Cheap Stock In An Expensive Market https://t.co/otZNy6jDxK $AAPL $INTC $QCOM $NXPI')
('2017-04-12 14:29:25'," ""RT @barronstechblog: Apple: Whose Chips Will They Dump Next? Asks Pac Crest - Tech Trader Daily - Barron's $AAPL $DLG $SYNA $CRUS $SWKS httâ€_"")"
('2017-04-12 14:29:22', 'Now only holding $aapl $S $nflx calls .. $bac $chk stock')
('2017-04-12 14:26:18', 'RT @marketexclusive: Production Of Fitbit Inc (NYSE:FIT) Smartwatch Plagued By Problems https://t.co/iKM2bzrYSb $FIT $AAPL')
('2017-04-12 14:24:21'," ""Apple: Whose Chips Will They Dump Next? Asks Pac Crest - Tech Trader Daily - Barron's $AAPL $DLG $SYNA $CRUS $SWKS https://t.co/VWs2J31uCq"")"
('2017-04-12 14:24:15', 'Are you Bullish or Bearish on #Apple? Start #Trading $AAPL with #Bitcoin. 15:1 Leverage. #Cool #Gif #Stocksâ€_ https://t.co/t6P6SGQUEj')
('2017-04-12 14:24:08'," ""Rumor: Integrating Touch ID into 'iPhone 8' display remains Apple's 'biggest bottleneck' https://t.co/xmDrokC79Mâ€_ https://t.co/sTzxIKo0o3"")"
('2017-04-12 14:23:34', 'RT @KamakuraCo: Do you  see a highly accurate way to map credit spreads to PDs in this history of the $AAPL 2018s? Neither do we.  Too simpâ€_')
('2017-04-12 14:23:10', '$AAPL $AVGO $SWKS $QRVO $CRUS:\n\nApple: Whoâ€™s Chips Will They Dump Next? Asks Pac Crest:\n\nhttps://t.co/ulAtrvXwHZ')
('2017-04-12 14:22:23', 'Production Of Fitbit Inc (NYSE:FIT) Smartwatch Plagued By Problems https://t.co/iKM2bzrYSb $FIT $AAPL')
('2017-04-12 14:21:33', 'Crush $VIX Ramp USD/JPY Float $AAPL/ $QQQ/ $SPY Nothing to see here move along... https://t.co/ZXTOvwoyeB')
('2017-04-12 14:19:05', '$AAPL:\n\nApple Short Interest Drops Nearly 13%:\n\nhttps://t.co/pgN9xANKmH')
('2017-04-12 14:16:42', 'RT @Benzinga: PC Shipments Fall Below 63 Million Units For First Time Since 2007 https://t.co/AkQaUQK7tT $AAPL $HPQ')
('2017-04-12 14:16:29'," '$SPY ""Everything is Fine Don\'t Panic!! #Yellen $SPX $IWM $QQQ $DJIA $GS $BAC $JPM $AMZN $FB $AAPL $GOOGL $ES_F $VIXâ€_ https://t.co/NQ6gGvjK0W')"
('2017-04-12 14:14:37', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p \n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQâ€_')
('2017-04-12 14:14:27', 'RT @PortfolioBuzz: Stay ahead with Nasdaq 100 news views &amp; analysis $MSFT $AAPL $GOOG https://t.co/W1OB9ZtUgi https://t.co/JDmFSYgl30')
